Project,Package,Module,Class,Smell,Method,Line no,File,Description
group02,group02.backend.models,vote,,Long statement,,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\vote.py,A line with 213 chars in vote exceeds the maximum length of 120 characters.
group02,group02.backend.routes,answer_routes,,Empty catch block,get_answers,54,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\answer_routes.py,Empty catch block found in get_answers.
group02,group02.backend.routes,answer_routes,,Empty catch block,get_answer_count,75,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\answer_routes.py,Empty catch block found in get_answer_count.
group02,group02.backend.routes,answer_routes,,Empty catch block,create_answer,141,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\answer_routes.py,Empty catch block found in create_answer.
group02,group02.backend.routes,answer_routes,,Empty catch block,update_answer,209,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\answer_routes.py,Empty catch block found in update_answer.
group02,group02.backend.routes,answer_routes,,Empty catch block,get_comments_for_answer,246,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\answer_routes.py,Empty catch block found in get_comments_for_answer.
group02,group02.backend.routes,answer_routes,,Long statement,get_answers,36,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\answer_routes.py,A line with 475 chars in get_answers exceeds the maximum length of 120 characters.
group02,group02.backend.routes,answer_routes,,Long statement,create_answer,124,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\answer_routes.py,A line with 347 chars in create_answer exceeds the maximum length of 120 characters.
group02,group02.backend.routes,answer_routes,,Long statement,update_answer,203,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\answer_routes.py,A line with 183 chars in update_answer exceeds the maximum length of 120 characters.
group02,group02.backend.routes,answer_routes,,Long statement,get_comments_for_answer,232,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\answer_routes.py,A line with 318 chars in get_comments_for_answer exceeds the maximum length of 120 characters.
group02,group02.backend.routes,answer_routes,,Long statement,,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\answer_routes.py,A line with 181 chars in answer_routes exceeds the maximum length of 120 characters.
